event_id,event_date,year,in_sequence,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA946,2020-06-16,2020,False,Peaceful protest,0,0,-5.486113123819987,1.713465549507485,7.199578673327464,8.91304422283495,22.87175775089779,1.6002445122388502,1263.3333333333333,1.4500000000000002,,9,False,True,True,v3_sequence_anchored_geo_distance
USA56422,2023-05-29,2023,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA56421,2023-05-29,2023,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA54429,2023-04-01,2023,False,Violent demonstration,1,0,,,,,,,,2.5666666666666664,,0,True,False,True,v3_sequence_anchored_geo_distance
USA22052,2021-01-22,2021,False,Peaceful protest,0,0,-2.47704004817826,1.565981632038545,4.0430216802168,5.609003312255345,23.8866681722373,0.7559470039144836,3198.0,7.1,1.0,2,False,True,True,v3_sequence_anchored_geo_distance
USA22044,2021-01-22,2021,False,Peaceful protest,0,0,-2.819705946418732,2.379604364712793,5.199310311131528,7.5789146758443176,21.893993310952894,1.048660559131671,1354.52,-0.5520000000000002,0.07142857142857142,25,True,True,True,v3_sequence_anchored_geo_distance
USA20088,2021-01-04,2021,False,Peaceful protest,0,0,-4.770850029929792,1.8091199132541325,6.579969943183923,8.389089856438048,23.1432938813069,0.5976335661433071,1120.32,1.2360000000000002,0.5454545454545454,25,True,True,True,v3_sequence_anchored_geo_distance
USA22147,2021-01-23,2021,True,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA45045,2022-06-24,2022,False,Violent demonstration,1,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
USA20090,2021-01-04,2021,True,Peaceful protest,0,0,-4.756390178590833,2.058401584181783,6.8147917627726144,8.873193346954398,20.855341009160266,0.05641642306399517,1805.6,1.7760000000000002,0.7058823529411765,25,True,True,True,v3_sequence_anchored_geo_distance
USA20273,2021-01-07,2021,True,Peaceful protest,0,0,-6.243657603391333,1.436984603268375,7.680642206659708,9.117626809928089,19.945863086380747,0.3455834443154138,706.6428571428571,-2.3725296442687744,0.4666666666666667,14,True,True,True,v3_sequence_anchored_geo_distance
USA20212,2021-01-06,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21978,2021-01-20,2021,False,Peaceful protest,0,0,,,,,,,,1.3425,0.3,0,False,False,True,v3_sequence_anchored_geo_distance
USA21250,2021-01-13,2021,False,Peaceful protest,0,0,-2.352863949716143,2.8067949107866985,5.159658860502843,7.96645377128954,19.861577453365776,0.994667477696675,435.125,0.9714285714285715,0.0,8,False,True,True,v3_sequence_anchored_geo_distance
USA21811,2021-01-16,2021,False,Peaceful protest,0,0,-3.603454274238223,1.7245419893116716,5.327996263549895,7.052538252861564,21.52595313391277,0.5901215623095363,2046.72,-0.7679999999999999,0.8666666666666667,25,True,True,True,v3_sequence_anchored_geo_distance
USA22068,2021-01-22,2021,False,Peaceful protest,0,0,-2.053303857560364,2.460398532803953,4.513702390364317,6.97410092316827,21.63032347636666,1.5869141832604001,799.1428571428571,0.29166666666666674,0.5,7,False,True,True,v3_sequence_anchored_geo_distance
USA21918,2021-01-18,2021,True,Peaceful protest,0,0,-1.2125155733270738,3.1327516454031623,4.3452672187302355,7.4780188641334,21.576018743244152,1.094402150675472,769.24,0.3279999999999999,0.9090909090909091,25,True,True,True,v3_sequence_anchored_geo_distance
USA21154,2021-01-11,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
USA35873,2021-10-16,2021,False,Violent demonstration,1,0,0.09627388003707464,3.842039954486319,3.7457660744492443,7.587806028935559,22.755689474771316,0.6016137751488261,1357.8333333333333,1.084,0.7391304347826086,24,True,True,True,v3_sequence_anchored_geo_distance
USA21299,2021-01-15,2021,False,Peaceful protest,0,0,-1.208189100381464,1.9242622017765127,3.1324513021579743,5.0567135039344855,22.8196922093619,1.2837507585947756,2018.3333333333333,-3.911538461538461,0.75,12,False,True,True,v3_sequence_anchored_geo_distance
USA48116,2021-11-21,2021,False,Mob violence,1,0,,,,,,,,0.18999999999999995,,0,False,False,True,v3_sequence_anchored_geo_distance
USA21132,2021-01-10,2021,False,Peaceful protest,0,0,-4.312872452645618,1.6797326991306882,5.992605151776306,7.672337850906995,21.93543664973386,0.48391920836813523,512.76,0.15999999999999992,0.21052631578947367,25,True,True,True,v3_sequence_anchored_geo_distance
USA21797,2021-01-16,2021,True,Peaceful protest,0,0,-5.6667908356560055,1.7075662270691816,7.374357062725186,9.081923289794359,21.899122423225318,0.9575311091108385,913.44,-0.592,0.7857142857142857,25,True,True,True,v3_sequence_anchored_geo_distance
USA22021,2021-01-21,2021,True,Peaceful protest,0,0,-6.3274883601718726,1.6176936350366833,7.945181995208555,9.562875630245243,21.417522588409103,0.5891365726915321,1091.2,0.8090909090909091,0.3684210526315789,25,True,True,True,v3_sequence_anchored_geo_distance
USA20164,2021-01-06,2021,True,Violent demonstration,1,0,-2.8646951696674834,2.86670974982008,5.731404919487565,8.598114669307646,25.992534672033425,0.47692012970626907,1004.4,-1.0826086956521739,0.6923076923076923,25,True,True,True,v3_sequence_anchored_geo_distance
USA20064,2021-01-03,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA42637,2022-04-23,2022,False,Mob violence,1,0,0.566339303498847,2.655841927235235,2.089502623736385,4.745344550971615,22.90518585832925,1.3933971921171675,3211.0,3.1333333333333337,0.0,2,False,True,True,v3_sequence_anchored_geo_distance
USA20195,2021-01-06,2021,False,Violent demonstration,1,0,-6.660334340682486,0.5971936823838061,7.257528023066294,7.854721705450102,23.410685442664107,0.5813486898606488,354.96,-2.1799999999999997,0.7368421052631579,25,True,True,True,v3_sequence_anchored_geo_distance
USA38671,2022-01-22,2022,False,Mob violence,1,0,-0.5807700228598887,3.0762167088637007,3.6569867317235905,6.73320344058729,21.237970825175044,0.9557031240385299,1443.88,2.816,0.25,25,True,True,True,v3_sequence_anchored_geo_distance
USA57302,2023-06-12,2023,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21213,2021-01-12,2021,False,Peaceful protest,0,0,-2.3606052725117004,2.4974087787163457,4.8580140512280465,7.355422829944396,20.055303249172873,0.9386513235982658,1406.0,-0.43999999999999995,,7,False,True,True,v3_sequence_anchored_geo_distance
USA33390,2021-07-09,2021,False,Mob violence,1,0,1.0522609209843852,3.49625288992247,2.443991968938085,5.940244858860559,20.852244804381897,0.4361981161734645,2019.5,2.1359683794466404,0.6,2,False,True,True,v3_sequence_anchored_geo_distance
USA21103,2021-01-09,2021,False,Peaceful protest,0,0,-0.6780099910958878,2.5262494442736503,3.2042594353695364,5.730508879643186,19.277065351663598,1.1814956889565866,785.6666666666666,,,3,False,True,True,v3_sequence_anchored_geo_distance
USA33274,2021-08-31,2021,False,Violent demonstration,1,0,-0.8085512971018058,2.6705354710412768,3.4790867681430853,6.149622239184361,22.376004248827094,0.6766695619068848,735.9333333333333,,,15,False,True,False,v3_sequence_anchored_geo_distance
USA56992,2023-06-10,2023,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA41621,2022-04-11,2022,False,Mob violence,1,0,,,,,,,,-2.333333333333333,,0,False,False,True,v3_sequence_anchored_geo_distance
USA21279,2021-01-14,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
USA51662,2023-01-25,2023,False,Mob violence,1,0,-1.614859915766345,1.075810291155467,2.6906702069218102,3.766480498077275,17.551730452298102,0.7759567844717069,460.5,-1.8125,0.625,2,False,True,True,v3_sequence_anchored_geo_distance
USA22056,2021-01-22,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20126,2021-01-05,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21791,2021-01-16,2021,False,Peaceful protest,0,0,,,,,,,,3.3166666666666664,1.0,0,True,False,True,v3_sequence_anchored_geo_distance
USA21975,2021-01-20,2021,False,Peaceful protest,0,0,,,,,,,,2.5500000000000003,,0,False,False,True,v3_sequence_anchored_geo_distance
USA21940,2021-01-18,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21788,2021-01-16,2021,True,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20296,2021-01-07,2021,True,Peaceful protest,0,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
USA51899,2023-01-21,2023,False,Violent demonstration,1,0,-0.7805412882715156,3.2694035118786484,4.049944800150163,7.319348312028815,23.333634303037492,1.054331110171889,1022.8,-2.5439999999999996,0.6666666666666666,25,True,True,True,v3_sequence_anchored_geo_distance
USA22130,2021-01-25,2021,False,Peaceful protest,0,0,,,,,,,,-0.4500000000000002,,0,True,False,True,v3_sequence_anchored_geo_distance
USA46887,2022-08-07,2022,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21114,2021-01-10,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA22151,2021-01-27,2021,True,Peaceful protest,0,0,-7.44580584354383,0.471253534401508,7.91705937794533,8.38831291234684,21.1121583411876,0.942507068803016,983.0,0.5571428571428572,,2,True,True,True,v3_sequence_anchored_geo_distance
USA22041,2021-01-22,2021,False,Peaceful protest,0,0,-1.8539657799633806,2.189922711781909,4.043888491745289,6.233811203527199,22.254804054018532,0.9229535717213138,773.96,3.568,0.5,25,True,True,True,v3_sequence_anchored_geo_distance
USA21072,2021-01-09,2021,True,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA21988,2021-01-20,2021,False,Peaceful protest,0,0,1.74621653084983,2.79394644935972,1.0477299185099,3.84167636786962,26.0768335273574,1.28055878928987,771.0,0.20111111111111102,,1,False,True,True,v3_sequence_anchored_geo_distance
USA21944,2021-01-19,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA38501,2022-01-21,2022,False,Mob violence,1,0,-0.5992004828336469,2.714721423163544,3.313921905997188,6.028643329160732,20.571160351047567,0.0,690.32,0.6640000000000001,0.65,25,True,True,True,v3_sequence_anchored_geo_distance
USA20086,2021-01-04,2021,False,Peaceful protest,0,0,-5.606557135675466,1.4142856655339104,7.020842801209377,8.43512846674329,19.160918875093376,0.4398975515220564,474.4,-0.6040000000000003,0.125,25,True,True,True,v3_sequence_anchored_geo_distance
USA34974,2021-09-19,2021,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
USA21234,2021-01-13,2021,True,Peaceful protest,0,0,-1.2100240841726975,2.364007312234133,3.5740313964068267,5.938038708640963,19.768957802892267,1.4391031733525192,863.0,0.8782608695652174,0.5,3,False,True,True,v3_sequence_anchored_geo_distance
USA20135,2021-01-05,2021,False,Excessive force against protesters,1,0,,,,,,,,2.7,0.0,0,False,False,True,v3_sequence_anchored_geo_distance
USA21074,2021-01-09,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20239,2021-01-06,2021,True,Violent demonstration,1,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
USA21796,2021-01-16,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20124,2021-01-05,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
USA20083,2021-01-04,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20079,2021-01-04,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20123,2021-01-05,2021,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA58258,2023-07-24,2023,False,Mob violence,1,0,,,,,,,,-0.2727272727272725,1.0,0,False,False,True,v3_sequence_anchored_geo_distance
USA36760,2021-10-29,2021,False,Mob violence,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA33480,2021-07-31,2021,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA20118,2021-01-05,2021,False,Peaceful protest,0,0,-3.5410191060527096,3.0474705938436766,6.588489699896384,9.635960293740064,24.92509585642272,0.5730277856208665,841.48,1.3320000000000003,0.6190476190476191,25,True,True,True,v3_sequence_anchored_geo_distance
USA36703,2021-11-03,2021,False,Mob violence,1,0,,,,,,,,,0.0,0,False,False,True,v3_sequence_anchored_geo_distance
