event_id,event_date,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA19998,2020-12-31,Violent demonstration,1,0,-2.6290497491697806,2.4332187429320404,5.062268492101822,7.495487235033861,22.196756302042072,0.38921597410796155,1518.76,0.4920000000000001,0.2857142857142857,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA940,2020-06-19,Peaceful protest,0,0,-1.3044518496372932,2.7720094101492703,4.076461259786564,6.848470669935838,22.91600076522594,1.2994656358649015,780.16,2.104,0.6153846153846154,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA11385,2020-08-26,Violent demonstration,1,0,-1.7233266350568228,2.7153220670604687,4.438648702117292,7.153970769177763,21.6731728491915,1.7125093658928696,1065.0454545454545,-0.1536363636363638,0.6666666666666666,22,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA6540,2020-06-02,Violent demonstration,1,0,,,,,,,,,1.0,0,False,False,True,v2_country_theme_filtered+geo_distance_v1
USA67,2020-06-14,Peaceful protest,0,0,-3.3301290300159154,2.3599656178416395,5.6900946478575545,8.050060265699198,22.37029780985737,0.5835459338333169,1599.8,2.952,0.6111111111111112,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA997,2020-06-19,Peaceful protest,0,0,0.0,1.71945701357466,1.71945701357466,3.43891402714932,16.289592760181,0.361990950226244,773.0,,,1,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA670,2020-06-20,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA522,2020-06-20,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA10390,2020-05-31,Violent demonstration,1,0,-3.468299930085601,1.748829593072494,5.2171295231580945,6.9659591162305885,22.0432813430284,1.0085992030694162,1862.9583333333333,3.088,0.23076923076923078,24,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA6465,2020-06-02,Violent demonstration,1,0,,,,,,,,-2.4,0.3333333333333333,0,False,False,True,v2_country_theme_filtered+geo_distance_v1
USA524,2020-06-14,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA6625,2020-06-02,Violent demonstration,1,0,-11.039115704241448,1.0377570778338783,12.076872782075332,13.114629859909206,17.67764630295989,0.3691283002543808,952.0,1.192,0.6666666666666666,10,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA4697,2020-05-29,Violent demonstration,1,0,-4.577107580406417,1.8717106268742398,6.448818207280656,8.32052883415489,23.258293508210144,1.0838270689812692,720.08,2.412,0.6521739130434783,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA4905,2020-05-30,Violent demonstration,1,0,-4.926221673221703,1.0625611673264992,5.988782840548201,7.05134400787471,23.7160324661767,0.806173500257906,579.6666666666666,1.2478260869565216,0.8260869565217391,12,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA5967,2020-06-01,Violent demonstration,1,0,-3.759893795794155,3.0266825752165802,6.786576371010753,9.813258946227322,21.22896201343375,0.5300373879223418,347.75,-0.7839999999999998,0.4375,4,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA946,2020-06-16,Peaceful protest,0,0,-5.486113123819987,1.713465549507485,7.199578673327464,8.91304422283495,22.87175775089779,1.6002445122388502,1263.3333333333333,1.4500000000000002,,9,False,True,True,v2_country_theme_filtered+geo_distance_v1
